VendorAddress,VendorID,VendorINN,VendorNm 
,2413,,"ООО ""Витас А"""
г.Москва,2419,,"ООО ""Рица"""
"394065, г.Воронеж, пр-т Патриотов, 23А",2422,3665039814,"МУП ""Больничная аптека №228"""
,2425,,"ФГУ ""в/ч 412 ЦОМТИ"" ДВО Минобороны России"
"143960, г.Реутов, ул.Фабричная, 7, 107150, г.Москва, ул.Ивантеевская, 7, ком.20",2426,7718587469,"ЗАО ""Трэдис"""
"624130, г.Новоуральск, ул.Торговая, 15, г.Екатеринбург, ул.Кирова, 28/1, 620144, г.Екатеринбург, ул 8 марта, 90А",2431,6629012040,"ООО ""Завод ""Медсинтез"""
,2438,,"ОГУП ""Аптека №6"""
"614010, г.Пермь, ул.Белинского, 42",2442,5904110013,"ООО ""Аптеки ""Будь здоров!"""
,2444,,"МП ""Аптека №93"""
",305038,,,Курск,,Республиканская,1,Б,",2448,4632036873,"ООО ""Оптофарм Плюс"""
"г.Новосибирск, ул. Фабричная д.10",2461,5407117668,"ООО ""Феникс"""
"614000, г.Пермь, ул.Кирова, 8",2465,5908024580,"ООО ""Вилена"""
"670042, г.Улан-Удэ, ул.Жердева, 60, кв.57",2467,032603213869,ИП Дышенова Вера Владимировна
"г.Екатеринбург, пер.Дружбы, 4-35",2476,6625019687,"ЗАО ""Уралнет"""
,2477,,"ЗАО ""Вифитех"""
"400011, г.Волгоград, ул.Калининградская, 12",2478,,"ООО ""Волжская фармация"""
"352916, г.Армавир, Северная промзона, 16",2495,2302016219,"ОАО ""Армавирская межрайонная аптечная база"""
г.Екатеринбург,2496,6659064448,"ООО ""БиоТонус"""
"306020, пос.Золотухино, ул.Кирова, 75",2499,4632033463,"ОАО ""Курская Фармация"" филиал-аптека №38"
г.Рузаевка,2501,,"МУП ""Центральный медицинский склад"""
,2507,,"МУП ""Центральная районная аптека №105"""
"603074, г.Нижний Новгород, ул.М.Воронова, 1",2513,5259023702,"ООО ""Саламат-НН"""
"613260, г.Нагорск, ул.Советская, 91А",2518,4319001528,"Кировское ОГУП ""Нагорская центральная районная аптека №58"""
"г.Ярославль, ул.Марголина, 22",2521,7607023611,"ООО ""Аптечная сеть ""Медуница"""
"248007, г.Калуга, ул.Вишневского, 2, кв.53",2525,402704699911,ИП Шоршнева Марина Сергеевна
"г.Курган, ул.Володарского,д.62",2530,4501095593,"ООО ""Фармацевтическая компания ""Арника"""
"655150, г.Черногорск, ул.Калинина, 32, кв.87",2533,1903014503,"ООО ""Хакасская универсальная компания"""
"184380, Мурманская область, г. Кола, ул. Андрусенко, дом 10",2536,7806005744,"ЗАО &laquo,Северо-Запад&raquo,, мурманский филиал"
"г.Сыктывкар, ул.Димитрова, 3",2541,1101487400,"ГУЗ ""Республиканский противотуберкулезный диспансер"""
"429955, г.Новочебоксарск, пер.Химиков, 5",2551,2124020300,"ООО ""Профит-Центр"""
г.Новочеркасск,2555,,"ФГУ ""в/ч 41570, Оптовый склад"""
"644048, Иркутск, ул. Розы Люксембург, 184",2566,3819014812,"ООО ""Новая аптека"""
"111539, г.Москва, ул.Новокосинская, 48",2574,7720548611,"ООО ""Авангард"""
"392008, г.Тамбов, Моршанское шоссе, д.17 Б",2576,6832031876,"ООО ""Фарм Центр"""
"г. Тамбов, ул. Академика Островитянова, 9в",2581,6829015948,"ЗАО ""СИА Интернейшнл-Тамбов"""
"142530, г.Электрогорск, ул.Буденного, 1",2584,5035025076,"ЗАО ""Эколаб"""
"125430, г.Москва, Пятницкое ш.27, корп.1, кв.354",2605,7733732939,"ООО ""Экофарм"""
,2608,,"ЗАО ""Лэнс"""
"630007, г.Новосибирск, ул.Свердлова, 21",2612,5406033775,"ЗАО ""Фармацевтическая фирма ""Медиаск"""
"г.Москва, Нагорный пр-д, 12, корп.1",2618,7709548382,"ООО ""Авеста Фармацевтика"""
"г.Самара, ул.Саранская, 11",2619,6312012926,"ООО ""Экспо-Мед"""
"308001, г.Белгород, ул.Первомайская, 13, 308000, г.Белгород, Народный б-р, 17",2623,3123077993,"ОАО ""Белгородский аптечный склад"""
"160028, г.Вологда, Окружное ш., 13",2625,3525145837,"ООО ""Антей-Фарма"""
,2643,,"МУП ""Аптека №60"""
,2645,4632033463,"ОАО ""Курская Фармация"", Аптека №73"
"412900, г.Вольск, ул.Революционная, 14",2650,6441009992,"МУП ""Вольск-фармация"""
"г.Якутск, ул.Билибина, 1",2652,5408130693,"АО ""Научно-производственная компания ""Катрен"""
,2654,,"Интерост, Дания"
,2668,,"ООО ""Фармацевтическая компания ""Центр"""
"362021, г.Владикавказ, ул.Минина, 21",2677,1502015771,"РГУП ""Фармация"""
"692806, г.Большой Камень, ул.Карла Маркса, 4А",2678,2503000177,"МУП ""Центральная городская аптека №140"""
"662543, г.Лесосибирск, ул.Белинского, 9, пом.102",2680,2454018059,"ООО ""Фармвыбор"""
"680031, Хабаровский край, г.Хабаровск, ул.Карла Маркса, 182",2683,272208730779,ИП Осиевский А.И.
"690048, г.Владивосток, пр-т 100 лет Владивостоку, 103",2695,2538067510,"ООО ""Прайд-А"""
г.Оренбург,2702,,"ООО ""Фармакор"""
"Республика Дагестан,Магарамкентский район,с.Магарамкент, ул.Комсомольская-4",2706,0523000566,"ГУ ""Аптека №41"""
"г. Екатеринбург, ул. Восточная, 56, оф.20",2709,6639015160,"ООО ""Компания ""Лига 7"""
"629300, г.Новый Уренгой, ул.Молодежная, 17/2",2712,8904008181,"МУП ""Фармация"""
"г.Барнаул, ул. Чкалова 53А",2715,2224023880,"ООО ""Фармед"""
"426035, г.Ижевск, ул.Тимирязева, 21А, кв.90",2716,1833021913,"ООО ""Фармэтис"""
,2717,,"МУП ""Аптека №19"""
"117437, г.Москва, ул.Островитянова, 13 (юр.адрес), 119571, г.Москва, ул.26 Бакинских комиссаров, 9, оф.59, 61 (факт.адрес)",2718,7704165883,"ЗАО ""Корал-Мед"""
,2720,,"МУП ""Аптека №103"""
,2722,,"МП ""Аптка №24"""
,2733,,"ООО ""Фармедсбыт"""
"427950, г.Камбарка",2736,1810000628,"ГУП УР ""Центральная районная аптека №40"""
"г.Уржум, ул.Советская, 44",2742,4334003135,"Кировское ОГУП ""Уржумская центральная районная аптека №8"""
,2744,,"МУП ""Аптека №9"""
"Иркутская область, г. Братск, жилой район Энергетик, ул. Погодаева, дом 1 а",2754,3805707180,"ООО ""Сибирское здоровье"""
"394026, г.Воронеж, ул.Текстильщиков, 2",2759,3662059185,"ООО ""Производственно-коммерческая фирма ""Миртек"""
"625000, г.Тюмень, ул.Комсомольская, 8/9",2763,7202071952,"ЗАО ""Фармсоюз"""
"г.Краснодар, ул.Московская, 92",2768,2311103958,"ООО ""ФармКлиник"""
"400050, г.Волгоград, ул.64-й Армии, 2",2776,3447003776,"МУП ""Социальная аптека №38"""
"620100, г.Екатеринбург, Сибирский тракт, 49",2782,6662012320,"ГУП СО ""Фармация"""
,2784,,"ЗАО ""Юнивесал лазарет сервис"""
,2788,,"МУЗ ""Одоевская центральная районная аптека №68"""
,2793,,"ООО ""Биолекс"""
,2794,6662012320,"ГУП СО ""Фармация"", Аптека №1"
"198207, г.Санкт-Петербург, пр-т Стачек, 134, пом.45",2803,7805087198,"ООО ""НФК"""
426039 г.Ижевск ул.Кольцевая 11,2806,1833032697,"ООО ""Компания ""Уралмедснаб"""
,2818,,"ООО ""Фарм-Плюс"""
"367000 Махачкала,Гамзатова,18",2819,0562007438,"ГУ ""Аптека №127"""
,2827,,"МУП ""ВЗ ""Медснабсервис"""
"430034, РМ, г.Саранск, ул.Ярославская,12",2836,1300002949,"ГУП РМ ""Фармация"""
,2841,,"ООО ""Авис-Д"""
,2843,,"ОАО ""Фармация"", Аптека №158"
"655017, г.Абакан, ул.Пушкина, 115, кв.10",2851,1901089831,"ООО ""Нобельфарма-Сибирь"""
,2866,,"МУП ""Аптека №64"""
г.Краснодар,2868,7728056192,"ЗАО ""Шрея Корпорейшнл"""
,2872,,"ООО ""Эскулап"""
"пос.Красное село, Свободы, 57",2874,4700000130,"ЛО ГП ""Ленфарм"""
"г.Киров, ул.Дзержинского, 64, корп.2",2881,4347017463,"Кировское ОГУП ""Аптека №120"""
"614032, г.Пермь, ул.М.Рыбалко, 87",2900,590800075750,ИП Шаврин Николай Михайлович
"620137, г.Екатеринбург, ул.Вилонова, 20, оф.14",2903,6602012861,"ООО ""Экофарм"""
"169300, г.Ухта, пр-т Ленина, 16",2914,1102049007,"ООО ""Финиол"""
,2927,7705144660,"ОАО ""Щелковский витаминный завод"""
,2932,,"ООО ""Аптека №59"""
"410090, г.Саратов, ул.Танкистов, 76",2949,6452939527,"ООО ""Аптека №18 плюс"""
"г.Николаевск-на-Амуре, ул.Орлова, 7",2952,2700001349,"Хабаровское краевое ГУП ""Фармация"", филиал г.Николаевск-на-Амуре"
г.Красноярск,2954,2466087642,"ООО ""ФЦК"""
,2959,,"ООО ""СКД ""Волга"""
"г.Тамбов, ул.Куйбышева, 13",2963,6832001215,"МУП ""Аптека №167"""
"г.Славгород, ул.К.Либкнехта, 212А",2971,2221019606,"АК ГУП ""Аптеки Алтая"""
"350063, г.Краснодар, ул.Комсомольская, 6",2978,2309101294,"ООО ""Для всей семьи"""
,2984,,"ООО ""Биокат"""
"690002, г.Владивосток, Океанский пр-т, 103А",2992,2540058009,"ЗАО ""Форум"""
"410004, г.Саратов, ул.Чернышевского, 88",2993,6454036873,"ООО ""Айболит-А"""
"690106, г.Владивосток, Партизанский пр-т, 44",3003,2536181666,"ООО ""Орион-К"""
"620050, г.Екатеринбург, 1 км Сибирского тракта, 8, оф.801 в БВЦ-2",3016,6662068795,"ЗАО ""Дельрус"""
"368600, г.Дербент, ул.Гагарина, 15",3022,0512011615,"МУП ""Аптека №8"""
,3024,5406372785,"МП ""Новосибирская аптечная сеть"", Аптека №137"
"196626, г.Санкт-Петербург, пгт Шушары, 2-й Бадаевский пр-д, 3, корп.1",3039,7816426886,"ООО ""Розничные сети"""
"г.Саратов, пр. Энтузиастов,д.22",3042,6452915371,"ОАО ""Сармедсервис"""
,3045,,"МУП ""Аптека №29"""
"398006, г.Липецк, ул.Гагарина, 80а",3047,4825032515,"ЗАО ""НИПП ""Евромед"", Аптека №5"
"468320, г.Байконур, ул.Бармина около дома №35",3048,9901006533,"ООО ""Аптека №1"""
"г.Москва, Варшавское ш., 71 корп.1",3060,7726532449,"ООО ""Крокус Универсал"""
,3069,,Мерк КГаА
"г.Курск, ул.Мирная, 4, кв.19",3074,4632100705,"ООО ""Аптека-Сервис"""
"660021, г.Красноярск, пр-т Мира, 128",3076,2463010240,"ООО ""Белая Русь"""
"664003, г.Иркутск, ул.Тимирязева, 16",3082,3808010196,"ООО ""Академический"""
"426063, г.Ижевск",3085,1835025631,"ГУП УР ""Аптека №147"""
"344037, г.Ростов-на-Дону, ул.Буйнакского, 5/57, лит.Е",3087,6167063880,"ООО ""Научно-производственная фирма ""Биомастер"""
"143952, г.Реутов, ул.Фабричная, 7 (юр.адрес), 127253, г.Москва, ул.Псковская, 12, корп.4 (факт.адрес)",3089,5041016087,"ООО ""Интермедфарм"""
"г.Магнитогорск, ул.им.газеты ""Правда"", 24",3094,7414001749,"ОГУП ""Межрайонное аптечное объединение"""
"680030, г.Хабаровск, ул.Ленина, 57, оф.415 а",3108,2721073320,"ЗАО ""СИА Интернейшнл Лтд"""
"628416, г.Сургут, пр-т Ленина, 39",3117,8602001623,"Сургутское городское МУП ""Центральная аптека"""
"153007, г.Иваново, ул.Генерала Горбатова, 19",3137,3729006253,"ОГУП ""Фармация"""
,3138,,ИП Исаков
"400063, Волгоград, ул. Танеева, 6",3142,3448001468,"МУП ""Аптека №249"""
"г.Улан-Удэ, ул.Дальневосточная, 7",3148,0323037270,"ГП РБ ""БурятФармация"", Аптека №110"
"457020, г.Пласт, ул.Строителей, 2",3174,7449067324,"ООО ""Руско"""
"РД, г. Махачкла, ул. Ленина, 64/104",3175,0561046931,"ООО ""Фарма-сфера"""
"242600, г.Дятьково, ул.Циолковского, 1",3192,3202012660,"МУП ""Фармация"""
"123001, г.Москва, Ермолаевский пер., 7, стр.1",3209,7705144660,"ООО ""Фармсоцсервис"""
"350059, г. Краснодар, ул. Васнецова, 39",3212,2308054468,"ЗАО ""СИА Интернейшнл-Краснодар"""
"454091 г.Челябинск,ул.Тимирязева-24",3217,3904086977,"ООО ""Веста"""
"628011, г.Ханты-Мансийск, ул.Карла Маркса, 30",3218,8601024152,"ОАО ""Ханты-Мансийская аптека"""
"630032, г.Новосибирск, ул.Планировочная, 58",3227,5404217520,"ООО ""Солар Сибирь Н"""
"399430, пос.Добринка, ул.Октябрьская, 36",3232,4826022196,"ОГУП ""Липецкфармация"", Аптека №21"
,3246,,"ЗАО ""Квадрофарм"""
"117218, Москва, ул. Новочеремушкинская, д. 24",3254,7727065998,"ООО ""Фирма ""Мосстоматрентген"""
"420095, г.Казань, ул.Восстания, 100, зд.30, а/я 109",3262,1658061621,"ООО ""Биотэк-Казань"""
"160012, г.Вологда, ул.Воркутинская, 16А, кв.4, г.Вологда, ул.Конева, 2А",3266,352517269509,ИП Краснобаева Татьяна Михайловна
"г.Астрахань, ул.Рождественского, 1",3279,3017050990,"ГП АО ""Астраханские аптеки"""
"400125,г.Волгоград,ул. Н.Отрады 26а",3285,3442000130,"МУП ""Аптека №42"""
,3307,,"МУП ""Аптека №89"""
"143952, г.Реутов, ул.Фабричная, 8",3315,7710239244,"ООО ""Эталон-Трейдинг"""
"174400, г.Боровичи, ул.9-го Января, 26",3319,5320012646,"ООО ""Фармация-Н"""
"Республика Саха (Якутия), г. Якутск, Автодорожная ул., дом №38 корпус Б",3321,1435308280,"ООО ""Фармбаза"""
,3324,,"ООО ""Аста Фарм"""
"367000, г.Махачкала, ул Г.Далгата, 15/41",3330,0541017026,"ООО ""Медфармснаб"""
"394000, г.Воронеж, ул.Сакко и Ванцетти, 93а",3333,3662046002,"ООО ""Научно-производственная компания ""Фармстиль"""
"127566, г.Москва, ул.Римского Корсакова, 3, корп.1, кв.505",3334,7701586763,"ООО ""РусМедСнабжение"""
,3338,,"МУП ""Аптека №458"""
"390013, г.Рязань, Первомайский пр-т, 37/1",3347,6228009474,"МУП ""Аптека №186"""
,3360,,"РПП ""Фармация"""
,3366,,"ООО ""Марта"""
,3367,7451003399,"ОГУП ""Областной аптечный склад"", филиал ""Юго-Восточный"", Аптека №111"
г.Печора,3377,1101487569,"ГУП РК ""Государственные аптеки Республики Коми"", Аптека №116"
"350000, Краснодар, 7/2 2-ОЕ ОТДЕЛЕНИЕ АФ",3385,7729350817,"ЗАО ""Аптека-Холдинг"""
"109469, г.Москва, ул.Братиславская, 31, корп.3",3388,7713594494,"ООО ""Аксон"""
г.Смоленск,3392,,"ООО ""Фармтех"""
"398036, г.Липецк, б-р Есенина, 5",3399,4824039250,"ООО ""ИнФармМед"""
"г.Москва, Институтский пр-д, 5, стр.1, г.Москва, ул.Зеленодольская, 28, корп.1, г.Москва, ул.Электродная, 10, корп.15",3401,7721077517,"ООО ""Норберт"""
"г.Иркутск, ул.Напольная, 70",3402,3809022010,"ЗАО ""Восточно-Сибирская компания ""Сибмедсервис"""
"г.Пермь, ул.Бригадирская, 20",3405,5904174200,"ООО ""Приоритет"""
"191126, г. Санкт-Петербург, ул Звенигородская д.9",3408,7826043970,"ООО ""Герофарм"""
"626150, Тюменская область, г.Тобольск,ул. Ленина, д. 173",3411,7206026206,"ООО ""Плюс 36.6"""
,3422,,"ООО ""Актин"""
,3425,,"КГУП ""Краевая аптека"""
"105173, г.Москва, ул.Главная, 27, кв.80",3427,7719729412,"ООО ""Витамин"""
"428024, г.Чебоксары, пр-т Мира, 19",3431,2128707750,"ОАО ""Первая фармацевтическая фирма"""
"630082, г.Новосибирск, ул.Дуси Ковальчук, 77",3454,5402155123,"ГБУ НСО ""Новосибоблфарм"""
"173009, г.Великий Новгород, ул.Псковская, 42, кв.12",3457,5321059679,"ООО ""Квинта Плюс"""
,3461,,Импфштоффверк Дессау-Торнау ГмбХ
"358000, г.Элиста, ул.Сян-Белгина, 3А",3463,0814064324,"ООО ""Асторат-Элиста"""
,3468,,Медлинг Серина-Мед (Беларусь)
"655012, Улица Пушкина, 21, Республика Хакасия, Город Абакан",3470,1901003496,"МП ""Аптека №60"""
"640014, г.Курган, пр-т Машиностоителей, 32",3474,4501118603,"ООО ""Фармопт"""
"672000 г.Чита, ул.Бабушкина, 111",3475,7534013129,"ООО ""Фармея"", Аптека №26"
"г. Новороссийск, ул. Волгоградская, 44",3496,2315077515,"МУ ""Межбольничная аптека"""
"191119, г.Санкт-Петербург, ул.Боровая, 20",3497,7808033360,"ЗАО ""Биотехнотроник"""
"г.Курск, пр-т Ленинского комсомола, 59А",3504,4629045765,"ООО ""Курский аптечный склад"""
,3509,,"МУП ""Центральная районная аптека №9"""
,3518,,"ООО ""Сервисмедик"""
"670031, г.Улан-Удэ, ул.Геологическая, 15",3519,0326046307,"ОАО ""Городские аптеки"""
,3520,,"ООО ""Фармакор"""
,3524,,"ООО ""ОртоФарма"""
"400005, г.Волгоград, ул.7я Гвардейская, 2",3532,3444152145,"ООО ""АльфаМедВолга"""
г.Москва,3537,7728587644,"ООО ""Медфарм"""
,3539,,"МУП ""Аптечная сеть ""Аптека №23"""
"684090, г.Вилючинск, ул.Победы, 22 А",3540,4102001297,"МУП ""Аптека №37"""
"141300, г.Сергиев Посад, ул.Фестивальная, 10",3542,7734002692,"ООО ""Мидия"""
"242600, г.Дятьково, ул.Циолковского, 1",3548,3202001690,"МУП ""Фармация"""
,3556,,"МУП ""Аптека №268"""
"г. Москва Фармацевтический пр-д, д. 1",3560,7711049567,"ОАО ""Московская фармацевтическая фабрика"""
"г.Екатеринбург, пр-т Космонавтов, 52 корп.Б, оф.5",3570,6663002290,"ООО ""Научно-производственная фирма ""Сигманта"""
,3575,,"ЗАО ""Никомед"""
"358009, г.Элиста, ул.С.М.Буденного, 7А",3577,0816004320,"ООО ""Фармтехнология"""
"664011, г.Иркутск, ул.Каландаришвили, 9",3582,3808006633,"Муниципальное унитарное фармацевтическое предприятие ""Специализированная производственная аптека ""Панацея"""
"683023, г.Петропавловск-Камчатский, пр-т Победы, 63",3608,4100000280,"ГУП ""Камчатфармация"", Аптека №69"
,3613,,"МУП ""Аптека №2/1"""
"г.Биробиджан, ул.Пушкина, 2",3616,7900000415,"ГП ЕАО ""Фармация"""
"630534, Новосибирский р-н, ул.Кубовая, 66/1",3625,5433166559,"ООО ""Калина"""
"358000, г.Элиста, ул.Сян-Белгина, 3",3648,0814064324,"ОАО ""Асторат-Элиста"""
,3651,4347017463,"Кировское ОГУП ""Аптека №120"", филиал ""Аптека №87"""
,3652,,"ООО ""Латек"""
"Архангельская область, г. Котлас, ул. Конституции д. 16-б",3653,2900000247,"ГУП АО ""Фармация"", Аптека №15"
г.Саранск,3670,1300002949,"ГУП РМ ""Фармация"", Аптека №120"
,3673,,"ООО ""Лекрус XXI век"""
"125371, г.Москва, Волоколамское ш., 81, корп.2, стр.5",3678,7733507267,"ООО ""Медикал лизинг-консалтинг"""
"г.Саратов, ул.Танкистов, 37",3682,6454044190,"ООО ""Сигма-Фарма"""
,3686,,"ООО ""Самсон-Мед"""
,3705,,"МП ""Аптека №363"""
"г.Москва, ул.Новая, 21",3711,5001024317,"ООО ""Фирма ""Макс-фарм"""
"г.Москва, Холодильный пер., 1",3719,7720002734,"ООО ""Фирма ""АНПО"""
"443030, г.Самара, ул.Красноармейская, 121",3727,6311110007,"ООО ""Рубин"""
г.Красноярск,3735,7729350817,"ЗАО ""Аптека-Холдинг"""
"Курск, ул.Краснополянская,д.39",3755,4632052233,"ООО ""Иртыш"""
,3756,1101487569,"ГУП РК ""Государственные аптеки Республики Коми"", Аптека №96"
"Самара, пос.Толевый, ул.Гродненская",3760,6318207664,"ФГУ ""Приволжская база хранения ресурсов МВД Российской Федерации"""
"665714, г.Братск, ул.Енисейская, 52",3764,3805101409,"МП ""Аптека №93"""
,3777,,"МАП ""Аптека №39"""
"390023, г.Рязань, ул.Циолковского, 11",3785,6230006992,"ООО ""Аптека №6"
"624691, Алапаевский район, пос. В Синячиха, ул. Октябрьская, 26",3787,6635001008,"МУП ""Аптека №180"""
"454091, г.Челябинск, пр-т Ленина, 51, кв.6",3790,744900649583,ИП Дорохова Людмила Алексеевна
,3793,,"МУП ""Аптека №242"""
пос.Усть-Абакан,3803,1910000646,"МП ""Усть-Абаканская центральная районная аптека"""
"169300, г.Ухта, пл.Комсомольская, 7/10",3804,1102050027,"МУП ""Аптека"""
"357500, г.Пятигорск, Черкесское ш., 8/22",3806,2632036037,"ООО ""Медио-Фарма"""
"690106, г.Владивосток, Партизанский пр-т, 36",3809,2536081206,"ООО ""Янтал"""
"г.Котельнич, ул.Советская, 81",3813,4342003604,"Кировское ОГУП ""Котельничская центральная районная аптека №21"""
"123592, г.Москва",3830,7734560545,"ЗАО ""Зета-Фарм"""
,3832,,"ООО ""Бизнес-Коммерц"""
,3838,3446011750,"ООО ""ВМТ"""
"г.Иваново, ул.Тимирязева, 53",3848,3702032418,"ООО ""Долголет"""
"410010, г.Саратов, ул.Безымянная, 6В",3866,6452041194,"ОАО ""Аптека №288"
г.Октябрьский,3875,0274036320,"ГУП ""Башфармация"", Центральная районная аптека №103"
,3879,,"Интерост, Венгрия"
,3898,,"ГУЗ ""РМС"""
"350072, г.Краснодар, ул.Московская, 5",3902,2311079631,"ООО ""Южная фармацевтическая компания"""
"302025, г. Орел, ул. Металлургов, д. 13",3905,5751005040,"МУП ""Аптека №53"""
"440008, г.Пенза, ул.Захарова, 20",3911,5836613714,"ЗАО ""Фарматика"""
"г.Москва, 3-я Черепковская ул., 15А",3925,7731243467,Экспериментальное производство медико-биологических препаратов Росскийского кардиологического научно-производственного комплекса ФГУ Минздравсоцразвития России
,3935,,"ООО ""Фарм Партнер"""
"150049, г.Ярославль, ул.Городской вал, 16 (юр.адрес), 150051, г.Ярославль, Школьный пр-д, 11",3941,7604091444,"ОАО ""Биофарм"""
"670042, г.Улан-Удэ, ул.Тобольская, 155, лит.А, 1 эт., пом.68",3942,0326038761,"ООО ""Сибирь-Фармация"""
"665466, г.Усолье-Сибирское, пр-т Ленинский, 2, кв.2",3952,3819014812,"ООО ""Аптека ""Новая"""
"г.Аксай, ул.Гулаева, 70/Железнодорожная, 86",3960,6102028373,"ООО ""Донская медицинская компания"""
"630124, г.Новосибирск, ул.Доватора, 21",3968,5406372785,"МП ""Новосибирская аптечная сеть"", Аптека №231"
"428033, г.Чебоксары, пр.Тракторостроителей, 101",3970,6661000152,"ООО ""Уралбиофарм"""
,3972,,"ЗАО ""Совэк"""
"156029, г.Кострома, ул.Никитская, 84",3977,4401013798,"МУП ""Аптека №79"""
,3987,,ИП Алиев Э.О.
"658560, с.Мамонтово, ул.Партизанская, 165",3993,2257000856,"МУП ""Фармация"""
"452920, г.Агидель, ул.Дружбы, 12",4009,0253004197,"ЗАО ""ИнтерВал"""
"г.Ставрополь, ул.Доваторцев, 179",4010,7743535993,"ООО ""Аптека-Холдинг 1"""
"г.Курск, Магистральный пр-д, 13 В",4021,4632060499,"ЗАО ""Лекомед Плюс"""
"г.Реж, ул.Строителей, 4",4022,6628000420,"МУП ""Аптека №372"""
,4023,,"МУП ""Аптека №4"""
,4025,,"МУП ""Аптека №183"""
"620023, г. Екатеринбург, ул. Патриотов, д. 6, кор. 2, оф. 2",4036,6674222579,"ООО ""ФармМедТорг"""
,4038,,"ООО ""Ведифарм"""
,4041,2700001349,"Хабаровское краевое ГУП ""Фармация"", Аптека №14"
"г.Буденновск, 7 мкр, 10",4042,2624025761,"ООО ""Дента-Люкс"""
"360004, г.Нальчик, ул.Кирова, 187",4044,071402566794,ИП Хоконова Елена Тимофеевна
"693000, г.Южно-Сахалинск, пр-т Мира,176/4",4046,6501113817,"ООО ""Инфамед"""
"640022, г.Курган, ул.Аргентовского, 46-93",4048,450103080071,ИП Вахтомина Екатерина Юрьевна
"г.Липецк, пл.Коммунальная, д.9, оф.201",4057,4824020059,"ООО ""Фарм-Надежда М"""
"241050, г.Брянск, пр-т Станке Димитрова, 49а",4067,3201000327,"ГУП ""Брянскфармация"""
Южно-Сахалинск,4068,6501068890,"МУП ""Аптека №5"""
"420054, г.Казань, ул.Лебедева, 1",4073,1659099272,"ООО ""ВитаМед"""
"644043, г.Омск, ул.Волочаевская, 15",4076,5503202845,"ООО ""Дельта-плюс"""
"г.Москва, ул.Енисейская, 3, корп.4",4085,7731205648,"ООО ""Компания ""Деко"""
"410005, г.Саратов, ул.Е.И.Пугачева, 159, оф.602",4098,6452944647,"ООО ""Календула"""
"386125, Назрановский р-н, с. Али-Юрт, ул.Оздоева, 11",4099,0608006648,"ООО ""Магр"""
,4101,,"ФГУЗ ""МСЧ №96"""
,4116,,"МУП ""Аптека №146"""
"620012, г.Екатеринбург, ул.Уральских рабочих, 28",4131,6630006059,"ООО ""Ас-Бюро Плюс"""
"658707, г.Камень-на-Оби, ул.Каменская, 132, кв.8",4142,220702706003,ИП Челышева Раиса Геннадьевна
"603009, г.Нижний Новгород, пр-т Гагарина, 37, корп.39А",4145,5257041174,"ООО ""Марун-Н"""
"655600, г.Саяногорск, Ленинградский мкр-н, дом 47",4149,1902001526,"МП ""Фармация"", Аптека №5"
г.Иваново,4164,3703012333,"ООО ""Волжская мануфактура"""
"143900, г.Балашиха, ул.Советская, 36, лит.Д",4173,7705781691,"ООО ""Лекстар"""
"625005, г. Тюмень, ул.Щербакова, 23/2",4181,7202154101,"ООО ""Коммерческий центр ""ТХФЗ"""
"690091, г.Владивосток, ул.Уборевича, 15",4199,2536200943,"ООО ""Легранд"""
"г. Барнаул, ул. Шукшина 9А",4210,2223001259,"МУП ""Аптека №292"""
"г.Нягань, ул.Интернациональная, 51",4212,8610016133,"ОАО ""Няганская аптека"""
"630090, г.Новосибирск, ул.Ильича, 6",4219,5408235103,"ООО ""Моя аптека плюс"""
"630559, Новосибирский р-н, раб.пос.Кольцово, АБК, корп.5, пос.Двуречье, ул.Молодежная, 14/1",4221,5408191400,"ООО ""Агроресурсы"""
,4225,,"ООО ""Донфармамед"""
"425200, Медведевский р-н, пос.Медведево, ул.Кооперативная, 14",4226,1207008086,"ОАО ""Медведевская центральная районная аптека №44"""
"107143, г.Москва, 1-й Иртышский пр-д, 1",4230,7718111937,"ФГУ ""Черкизовская база хранения ресурсов"" МВД России"
Приморско-Ахтарский р-н,4245,2347012743,"ГУП КК ""Фармация"""
"180007, г.Псков, Ул. М.Горького, д. 28",4250,6027082185,"ООО ""Фармаком М"""
"г.Саратов, ул.Соколовая, д.44/62",4260,6452006471,"ООО ""Фармация"""
"634063, г.Томск, ул.И.Черных, 94",4262,7017050436,"ЗАО ""СИА Интернейшнл Лтд"""
,4277,,"ООО ""Марун"""
,4285,,"Интерост, Франция"
,4292,,"ГУП ""Краевой аптечный склад"""
,4298,,"ООО ""Авентис фармацевтика"""
"г.Красноярск, ул.Щорса, 41",4301,2461203119,"ООО ""КрасТоргМед плюс"""
,4318,2221019606,"АК ГУП ""Аптеки Алтая"""
г.Пермь,4333,7724053916,"ЗАО ""Фирма ""Центр внедрения ""Протек"", филиал №19, г.Пермь"
,4335,,"ООО ""Витязь"""
"369140, станица Зеленчукская, ул.Интернациональная, 123",4339,0904004175,"ООО ""Отдых"""
"667000, г.Кызыл, Ленина, 45 кв.19",4341,1701029641,"ООО ""Таки"""
,4349,,"ФГУ ""Приволжское управление материально-технического и военного снабжения"" МВД России"
"620085, г.Екатеринбург, ул.Братская, 11А, г.Краснотурьинск, ул.Ленина, 24",4353,6660091982,"ООО ""ПФ ""Аптечный Союз"""
